origin_city,origin_country,origin_station,destination_city,destination_country,destination_station,operator_name,duration,trip_count,frequency_bucket,transport_type,frequency_daily,frequency_label
Vienna (Karlsplatz),AT,Vienna (Karlsplatz),Graz (Girardigasse),IT,Graz (Girardigasse),FlixBus/EU,02:40,60.0,Very High,,,
Graz (Girardigasse),IT,Graz (Girardigasse),Vienna West Station (Felberstraße),AT,Vienna West Station (Felberstraße),FlixBus/EU,02:25,189.0,Very High,,,
Vienna West Station (Felberstraße),AT,Vienna West Station (Felberstraße),Graz (Girardigasse),IT,Graz (Girardigasse),FlixBus/EU,02:25,166.0,Very High,,,
Graz (Girardigasse),IT,Graz (Girardigasse),Vienna (Karlsplatz),AT,Vienna (Karlsplatz),FlixBus/EU,02:40,43.0,Very High,,,
Munich,DE,Munich central bus station,Paris (Bercy Seine),FR,Paris (Bercy Seine),FlixBus/EU,13:40,14.0,Low,,,
Paris (Bercy Seine),FR,Paris (Bercy Seine),Munich,DE,Munich central bus station,FlixBus/EU,13:55,14.0,Low,,,
Porto (TIC - Campanhã),ES,Porto (TIC - Campanhã),Lisbon (Oriente),ES,Lisbon (Oriente),FlixBus/EU,03:15,354.0,Very High,,,
Lisbon (Oriente),ES,Lisbon (Oriente),Porto (TIC - Campanhã),ES,Porto (TIC - Campanhã),FlixBus/EU,03:15,355.0,Very High,,,
Braga (Centro de Transportes),ES,Braga (Centro de Transportes),Lisbon (Oriente),ES,Lisbon (Oriente),FlixBus/EU,04:35,110.0,Very High,,,
Lisbon (Oriente),ES,Lisbon (Oriente),Braga (Centro de Transportes),ES,Braga (Centro de Transportes),FlixBus/EU,04:35,110.0,Very High,,,
Braga (Centro de Transportes),ES,Braga (Centro de Transportes),Viseu (),ES,Viseu (Bus Station),FlixBus/EU,03:15,27.0,High,,,
Viseu (),ES,Viseu (Bus Station),Braga (Centro de Transportes),ES,Braga (Centro de Transportes),FlixBus/EU,03:15,27.0,High,,,
Lisbon (Oriente),ES,Lisbon (Oriente),Guimaraes (),ES,Guimaraes (Bus Station),FlixBus/EU,05:30,33.0,High,,,
Guimaraes (),ES,Guimaraes (Bus Station),Lisbon (Oriente),ES,Lisbon (Oriente),FlixBus/EU,05:00,33.0,High,,,
Lisbon (Oriente),ES,Lisbon (Oriente),Ponte de Lima (),ES,Ponte de Lima (Bus Station),FlixBus/EU,05:20,12.0,Low,,,
Lisbon (Oriente),ES,Lisbon (Oriente),Viana do Castelo (),ES,Viana do Castelo (Bus Station),FlixBus/EU,04:45,12.0,Low,,,
Ponte de Lima (),ES,Ponte de Lima (Bus Station),Lisbon (Oriente),ES,Lisbon (Oriente),FlixBus/EU,05:20,12.0,Low,,,
